pid,qtr,min,sec,dwn,yds,pts,player,type
692711,1,5,55,3,18,7,TT-0500,RUSH
692730,2,13,2,4,2,7,KW-1150,RUSH
692744,2,9,42,2,17,7,BM-0300,REC
692801,3,1,15,3,21,7,ED-0200,REC
692924,2,0,40,2,15,7,DP-0350,REC
692933,3,12,37,1,2,7,SJ-0200,RUSH
692993,4,7,5,2,2,7,JC-0400,REC
693047,1,3,19,2,1,7,TH-1600,RUSH
693057,2,14,35,1,42,7,TM-3000,REC
693068,2,10,54,1,13,7,BW-0700,REC
693095,2,0,30,2,4,7,DF-1875,REC
693249,2,1,56,2,22,7,TE-0300,REC
693270,3,11,29,1,5,7,AG-1500,REC
693286,3,7,5,4,38,7,JH-4025,RUSH
693339,4,1,51,1,2,7,KJ-1400,REC
693368,1,7,12,2,2,7,HM-0200,REC
693426,2,1,2,2,17,7,AB-3500,REC
693487,4,10,49,1,8,8,MW-1250,REC
693562,2,14,19,3,12,7,JG-3850,REC
693585,2,5,41,3,3,7,JG-3850,RUSH
693675,4,3,17,1,27,7,KJ-0100,INT
693720,1,2,25,1,5,7,ZM-0150,RUSH
693726,1,0,21,1,57,7,CF-0650,REC
693739,2,10,28,4,1,7,DC-2550,RUSH
693773,2,0,19,2,18,7,AJ-0900,REC
693780,3,14,29,2,23,7,JF-3060,INT
693819,4,11,12,1,5,7,DG-2650,REC
693869,1,9,14,1,5,7,RG-1650,REC
693880,1,4,28,3,39,7,PG-0100,REC
693892,1,0,24,3,3,7,JC-5680,REC
693918,2,3,39,2,4,7,JW-6000,REC
693933,2,0,26,1,5,7,CB-1130,REC
693970,4,15,0,3,71,7,RR-1150,REC
694007,4,4,22,3,7,7,CB-1130,REC
694024,1,13,21,1,54,7,DM-4300,RUSH
694058,1,1,44,1,6,7,DS-3300,RUSH
694078,2,11,9,2,9,7,WT-0600,REC
694096,2,4,47,2,4,7,JM-1550,REC
694112,2,0,15,3,2,7,RJ-0800,RUSH
694130,3,9,20,1,45,7,RR-0130,REC
694145,3,3,50,1,83,7,WT-0200,FUM
694167,4,9,28,1,3,7,JM-1550,REC
694210,1,10,19,1,9,7,TW-3900,REC
694287,3,5,37,3,34,7,JB-2950,REC
694297,3,1,15,2,36,7,CJ-1100,REC
694305,4,13,29,2,23,7,MF-1300,REC
694315,4,8,52,2,1,7,EE-0050,REC
694351,1,10,58,1,25,7,JM-0200,REC
694373,1,0,55,1,3,7,SW-0350,RUSH
694404,2,3,34,1,24,7,DA-0950,INT
694441,3,7,8,1,15,7,DH-1450,REC
694485,4,2,8,1,31,7,MC-2900,REC
694501,1,14,41,2,72,7,DT-0900,REC
694598,3,8,27,3,13,7,AG-0500,REC
694609,3,5,29,2,1,7,CA-0750,RUSH
694630,4,13,9,1,80,7,TW-2875,REC
694655,4,4,50,1,23,7,RH-2350,RUSH
694691,1,5,26,3,1,7,BB-3350,RUSH
694712,2,12,5,2,17,6,LF-0200,REC
694725,2,6,7,2,7,7,WT-0400,REC
694736,2,3,58,1,8,7,CC-3200,REC
694745,2,2,15,3,24,6,JK-0250,REC
694868,2,15,0,2,33,7,AB-2000,REC
694904,2,1,37,2,4,7,TM-0650,RUSH
695067,2,12,42,2,1,7,CN-0500,RUSH
695090,2,4,23,2,11,7,CA-1175,RUSH
695099,2,2,0,1,31,7,JC-5400,REC
695131,3,9,21,2,1,7,CN-0500,RUSH
695142,3,4,53,1,4,7,JW-5650,RUSH
695169,4,7,29,3,16,7,DF-2200,REC
695277,3,10,37,3,3,7,AP-0700,RUSH
695292,3,4,42,3,55,7,CM-3400,FUM
695308,4,13,37,2,16,7,RR-1050,REC
695347,1,15,0,0,106,7,KD-0450,KR
695446,3,4,39,2,9,7,CC-3950,REC
695460,4,15,0,2,5,7,SW-0350,RUSH
695603,3,5,8,2,10,6,MB-4550,REC
695624,4,14,0,2,1,7,JH-4025,RUSH
695657,4,1,56,3,25,6,AG-1500,REC
695776,4,11,41,2,3,7,DB-0500,REC
695860,2,13,7,3,24,6,JR-1150,REC
695872,2,9,9,2,12,7,RC-1500,REC
695903,2,0,33,2,10,7,DA-0212,REC
695916,3,9,44,3,3,7,KC-2350,RUSH
695929,3,4,18,1,4,7,JS-6200,RUSH
695946,4,12,27,1,2,8,EL-0010,RUSH
696002,1,10,27,3,8,7,RG-2200,REC
696058,2,3,25,3,1,7,TB-2300,RUSH
696091,3,8,29,1,16,7,RG-2200,REC
696106,3,2,17,1,10,7,AW-1650,REC
696158,4,1,18,2,1,7,CW-1450,RUSH
696186,1,6,58,3,8,7,MF-0950,REC
696257,3,10,25,3,8,7,JJ-0775,REC
696306,4,3,50,1,9,7,MF-0950,REC
696324,4,0,5,2,41,7,JJ-0775,REC
696329,5,14,0,2,5,6,LF-0200,REC
696334,1,12,35,1,4,7,JS-6700,RUSH
696338,1,11,46,2,14,7,LK-0600,INT
696362,2,14,22,2,1,7,JS-6700,RUSH
696383,2,6,32,3,19,7,GO-0100,REC
696412,3,13,33,2,13,7,JK-0250,REC
696428,3,7,48,3,33,7,TL-1025,REC
696466,4,6,11,3,3,7,JK-0250,REC
696528,1,1,26,1,1,7,FT-0300,RUSH
696642,4,3,4,3,1,8,CA-0750,RUSH
696680,1,7,37,2,21,7,OD-0100,REC
696698,1,1,53,1,1,6,SJ-0200,RUSH
696712,2,13,51,3,12,7,OD-0100,REC
696842,4,0,17,4,4,6,RG-2200,REC
696873,1,4,45,2,22,7,TG-0900,RUSH
696885,1,1,3,3,86,7,CB-3850,REC
696909,2,5,46,2,1,7,DJ-1325,RUSH
696921,2,2,0,3,1,7,CN-0500,RUSH
696955,3,2,14,1,12,7,CN-0500,RUSH
696967,4,14,22,1,21,8,DF-0550,REC
696989,4,5,31,3,5,8,DF-2200,REC
696993,4,5,20,1,22,7,LK-0600,INT
697031,1,6,34,3,0,7,MJ-0030,FUM
697055,2,11,28,1,1,7,JS-6700,RUSH
697167,4,3,13,1,2,8,CA-0750,RUSH
